id,first_name,last_name,email,gender,medical diagnosis,total sales,salary,average grade,costs
1,Conn,Fontanet,cfontanet0@accuweather.com,Male,S89141D,14871,22083,9.1,68330
2,Devinne,Payne,dpayne1@clickbank.net,Female,T791,14787,39208,8.4,23299
3,Bradford,Oger,boger2@blog.com,Male,S32491G,83282,41677,7.1,25629
4,Aubine,Kennifick,akennifick3@illinois.edu,Female,H579,13206,63341,0.1,29675
5,Otes,Daspar,odaspar4@mashable.com,Genderfluid,M87272,95016,54094,3.6,45962
6,Kendall,Bramley,kbramley5@free.fr,Male,M84378G,52984,95020,6.5,70138
7,Merrile,Bangs,mbangs6@free.fr,Female,N837,27091,122631,2.9,38260
8,Christean,Drance,cdrance7@un.org,Female,M300,52846,95657,6.3,57116
9,Falito,Gethouse,fgethouse8@exblog.jp,Polygender,S01311,80894,96535,4.0,45302
10,Susan,Labern,slabern9@army.mil,Genderqueer,T503X6D,11100,79635,9.5,70443
11,Geordie,Laphorn,glaphorna@engadget.com,Genderfluid,T383X6S,69322,103760,0.2,70823
12,Paton,Goodlet,pgoodletb@ask.com,Genderfluid,S91226S,42975,105329,2.1,52572
13,Melisse,Craigie,mcraigiec@nationalgeographic.com,Female,S92426A,61599,80963,1.8,33766
14,Clarita,Poultney,cpoultneyd@google.com,Female,H05033,25782,87202,3.6,69748
15,Ole,Dorbon,odorbone@angelfire.com,Male,O4190,79613,57811,6.7,52305
16,Shell,Thurnham,sthurnhamf@wisc.edu,Female,S61220D,11194,124608,1.1,77515
17,Dene,Hulme,dhulmeg@state.gov,Male,S61235A,55219,114201,4.4,67037
18,Ariadne,Wilmut,awilmuth@cam.ac.uk,Agender,S71041D,37142,73405,1.0,49322
19,Floris,Camell,fcamelli@newyorker.com,Female,T3340XD,52291,84263,6.2,50608
20,Randell,Bickersteth,rbickerstethj@sogou.com,Male,S46192D,77218,102568,8.5,21654
21,Reinhard,Felix,rfelixk@nbcnews.com,Male,H18012,15304,48476,3.6,57146
22,Mina,Stoad,mstoadl@comcast.net,Female,V4351XS,51020,38593,5.5,23107
23,Tarra,Grenfell,tgrenfellm@soundcloud.com,Female,D630,89946,142927,8.9,50668
24,Zacharias,Gedney,zgedneyn@msu.edu,Male,T22239,17639,147525,3.9,52094
25,Horatio,Gussin,hgussino@psu.edu,Male,S56105A,92611,121647,9.4,51677
