id,first_name,last_name,email,gender,medical diagnosis,total sales,salary,average grade,costs
1,Jyoti,Stack,jstack0@yelp.com,Female,X110,55773,109690,7.2,31235
2,Samara,Lechmere,slechmere1@wiley.com,Female,T23729D,85430,119261,7.9,52813
3,Jared,Benion,jbenion2@sitemeter.com,Male,G039,22327,116663,8.7,56482
4,Giselle,Schultz,gschultz3@biblegateway.com,Female,Z89021,37609,82279,5.7,41539
5,Bridie,Thurborn,bthurborn4@printfriendly.com,Female,S06313D,37127,22347,0.7,36980
6,Niall,Boij,nboij5@gmpg.org,Male,S22018K,95078,51801,9.2,61485
7,Marnie,Durtnal,mdurtnal6@altervista.org,Female,H35469,91409,71306,6.5,37693
8,Kile,Traylen,ktraylen7@paypal.com,Non-binary,J0121,84446,141723,7.2,59405
9,Maynord,Grasha,mgrasha8@i2i.jp,Male,T63464S,10134,116169,7.3,30911
10,Charley,Maciejak,cmaciejak9@fema.gov,Bigender,S65510S,96007,50814,0.6,57361
11,Gusti,O'Bruen,gobruena@nsw.gov.au,Female,S62369S,33205,147488,7.7,56314
12,Karrah,Crosetti,kcrosettib@princeton.edu,Female,H401394,20377,61809,0.5,43605
13,Tommie,Enderle,tenderlec@npr.org,Female,S92102D,43106,72786,8.9,40832
14,Melitta,Rodolico,mrodolicod@phoca.cz,Female,O6000,90913,143192,5.7,64502
15,Kermit,Piche,kpichee@amazon.de,Male,V0692XA,81557,127994,8.7,75113
16,Nadeen,Crebo,ncrebof@elpais.com,Female,S72361R,63076,44059,1.0,58436
17,Rebe,Sainthill,rsainthillg@google.it,Female,S42334D,79620,58286,5.1,35117
18,Riley,Mealand,rmealandh@slashdot.org,Male,V485,13750,37493,9.8,28840
19,Palmer,Pennazzi,ppennazzii@plala.or.jp,Male,S85492A,36494,74294,0.7,29956
20,Tabor,Hartil,thartilj@hp.com,Genderqueer,T421X6S,47368,59244,4.4,48501
21,Abey,Harriday,aharridayk@marriott.com,Male,S42354K,63531,143031,8.1,23950
22,Herold,Lucchi,hlucchil@studiopress.com,Male,X962XXA,26138,97939,0.7,69032
23,Jacquelynn,Bispham,jbisphamm@netvibes.com,Female,S63494D,43703,15766,9.9,27417
24,Konstance,Gebuhr,kgebuhrn@arizona.edu,Female,S0412XA,14333,16027,10.0,41454
25,Haydon,Tarbert,htarberto@edublogs.org,Non-binary,X711XXD,17335,17683,9.6,40024
26,Gav,Stannett,gstannettp@seesaa.net,Male,T44991D,27434,72694,9.7,26752
27,Alica,O'Hegertie,aohegertieq@comcast.net,Female,S4492XS,10582,38686,2.5,58422
28,Anabel,Rapinett,arapinettr@a8.net,Female,S45019S,59822,141399,5.4,53399
29,Geri,Prebble,gprebbles@ycombinator.com,Male,S62659G,96021,29663,7.0,65697
30,Gabrila,Blackwell,gblackwellt@wikimedia.org,Female,S33130D,94547,60962,7.7,32640
31,Dorolisa,Poncet,dponcetu@nydailynews.com,Female,T457X4A,34749,100229,7.4,59468
32,Mehetabel,Boutell,mboutellv@hud.gov,Female,V9351XD,83748,126143,3.5,23870
33,Jillene,O'Hartagan,johartaganw@telegraph.co.uk,Female,S82202A,89909,98706,7.1,51303
34,Ennis,Grafham,egrafhamx@stanford.edu,Male,V521,29701,38120,9.0,57197
35,Gaelan,Weaben,gweabeny@mysql.com,Male,V473XXS,73572,141772,7.5,31438
36,Ingram,Palser,ipalserz@auda.org.au,Male,S62347B,85952,90496,4.5,51439
37,Yehudi,Renish,yrenish10@opensource.org,Male,P234,62367,18415,3.8,49651
